Resource                                                                             Count  Monthly Cost
module.vpc[0].aws_nat_gateway.this                                                       1           $43
module.ecs_service_api.aws_ecs_service.this                                              1           $22
module.ecs_service.aws_ecs_service.this                                                  1           $22
module.alb.aws_lb.this                                                                   1           $18
module.alb.aws_lb_target_group.this                                                      1            $0
module.alb.aws_security_group.alb                                                        1            $0
module.ecs_service_api.aws_iam_role.task                                                 1            $0
module.ecs_service_api.aws_iam_role.task_execution                                       1            $0
module.ecs_service_api.aws_iam_role_policy_attachment.task_execution                     1            $0
module.ecs_service_api.aws_security_group.ecs_tasks                                      1            $0
module.ecs_service_api.aws_security_group_rule.egress                                    1            $0
module.ecs_service_api.aws_security_group_rule.ingress                                   1            $0
module.codebuild.aws_iam_role.codebuild                                                  1            $0
module.codebuild.aws_iam_role_policy.codebuild                                           1            $0
module.codepipeline.aws_codepipeline.this                                                1            $0
module.codepipeline.aws_codestarconnections_connection.this[0]                           1            $0
module.codepipeline.aws_iam_role.codepipeline                                            1            $0
module.codepipeline.aws_iam_role_policy.codepipeline                                     1            $0
module.codepipeline.aws_s3_bucket_public_access_block.artifacts[0]                       1            $0
module.codepipeline.aws_s3_bucket_server_side_encryption_configuration.artifacts[0]      1            $0
module.vpc[0].aws_internet_gateway.this                                                  1            $0
module.vpc[0].aws_route_table.private                                                    1            $0
module.vpc[0].aws_route_table.public                                                     1            $0
module.vpc[0].aws_route_table_association.private[0]                                     1            $0
module.vpc[0].aws_route_table_association.private[1]                                     1            $0
module.vpc[0].aws_route_table_association.public[0]                                      1            $0
module.vpc[0].aws_route_table_association.public[1]                                      1            $0
module.ecs_service.aws_iam_role.task                                                     1            $0
module.ecs_service.aws_iam_role.task_execution                                           1            $0
module.ecs_service.aws_iam_role_policy_attachment.task_execution                         1            $0
module.ecs_service.aws_security_group.ecs_tasks                                          1            $0
module.ecs_service.aws_security_group_rule.egress                                        1            $0
module.ecs_service.aws_security_group_rule.ingress                                       1            $0
module.vpc[0].aws_eip.nat                                                                1            $0
module.alb.aws_lb_listener.http                                                          1            $0
module.vpc[0].aws_subnet.private[0]                                                      1            $0
module.vpc[0].aws_subnet.private[1]                                                      1            $0
module.vpc[0].aws_subnet.public[0]                                                       1            $0
module.vpc[0].aws_subnet.public[1]                                                       1            $0
module.vpc[0].aws_vpc.this                                                               1            $0
module.codebuild.aws_cloudwatch_log_group.codebuild                                      1            $0
module.ecs_cluster.aws_cloudwatch_log_group.this                                         1            $0
module.codebuild.aws_codebuild_project.this                                              1            $0
module.ecs_service_api.aws_ecs_task_definition.this                                      1            $0
module.ecs_service.aws_ecs_task_definition.this                                          1            $0
module.ecs_cluster.aws_ecs_cluster.this                                                  1            $0
module.ecs_cluster.aws_ecs_cluster_capacity_providers.this                               1            $0
module.codepipeline.aws_s3_bucket.artifacts[0]                                           1            $0
module.codepipeline.aws_s3_bucket_lifecycle_configuration.artifacts[0]                   1            $0
module.codepipeline.aws_s3_bucket_versioning.artifacts[0]                                1            $0
